model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,0,,,5
stock,4,8,0,,,5
stock,8,12,4,0.0,0.0,5
stock,12,16,78,0.3538,0.0103,5
stock,16,20,164,0.4805,0.0392,5
stock,20,24,303,0.6449,0.0646,5
stock,24,32,771,0.896,0.0209,5
stock,32,48,1268,0.9733,0.007,5
stock,48,64,661,0.9876,0.0035,5
stock,64,96,540,0.9852,0.0054,5
stock,96,inf,278,0.9791,0.0066,5
nearfar,0,4,0,,,5
nearfar,4,8,0,,,5
nearfar,8,12,4,0.0,0.0,5
nearfar,12,16,78,0.3256,0.0131,5
nearfar,16,20,164,0.422,0.0266,5
nearfar,20,24,303,0.6667,0.016,5
nearfar,24,32,771,0.9149,0.0105,5
nearfar,32,48,1268,0.9874,0.0048,5
nearfar,48,64,661,0.9906,0.0024,5
nearfar,64,96,540,0.9885,0.0055,5
nearfar,96,inf,278,0.9892,0.0,5
distill,0,4,0,,,5
distill,4,8,0,,,5
distill,8,12,4,0.0,0.0,5
distill,12,16,78,0.1795,0.0115,5
distill,16,20,164,0.1976,0.0369,5
distill,20,24,303,0.3432,0.0649,5
distill,24,32,771,0.6693,0.0837,5
distill,32,48,1268,0.9383,0.0229,5
distill,48,64,661,0.9912,0.0026,5
distill,64,96,540,0.993,0.0014,5
distill,96,inf,278,0.9856,0.0032,5
distill_shuffle,0,4,0,,,5
distill_shuffle,4,8,0,,,5
distill_shuffle,8,12,4,0.0,0.0,5
distill_shuffle,12,16,78,0.2205,0.0188,5
distill_shuffle,16,20,164,0.2634,0.0628,5
distill_shuffle,20,24,303,0.4667,0.1227,5
distill_shuffle,24,32,771,0.7616,0.1105,5
distill_shuffle,32,48,1268,0.9492,0.0342,5
distill_shuffle,48,64,661,0.9903,0.0028,5
distill_shuffle,64,96,540,0.9911,0.0065,5
distill_shuffle,96,inf,278,0.9849,0.0042,5
distill_synth,0,4,0,,,5
distill_synth,4,8,0,,,5
distill_synth,8,12,4,0.0,0.0,5
distill_synth,12,16,78,0.2,0.0103,5
distill_synth,16,20,164,0.2183,0.0346,5
distill_synth,20,24,303,0.4317,0.0888,5
distill_synth,24,32,771,0.7725,0.0847,5
distill_synth,32,48,1268,0.9601,0.024,5
distill_synth,48,64,661,0.9912,0.0029,5
distill_synth,64,96,540,0.9956,0.0019,5
distill_synth,96,inf,278,0.9878,0.0029,5
nwd,0,4,0,,,5
nwd,4,8,0,,,5
nwd,8,12,4,0.0,0.0,5
nwd,12,16,78,0.4385,0.0604,5
nwd,16,20,164,0.6012,0.08,5
nwd,20,24,303,0.7716,0.0717,5
nwd,24,32,771,0.9533,0.0126,5
nwd,32,48,1268,0.9868,0.002,5
nwd,48,64,661,0.9882,0.0035,5
nwd,64,96,540,0.9867,0.0052,5
nwd,96,inf,278,0.9827,0.0058,5
